product_id,product_name,sku,stock,price,category_name,extracted_supplier
571,"TORNILLOS GRADO 5 DE 5""",TORNILLOS-GRADO-5-DE-5,13,6.46,,
453,BOLSA VIVERO  30X30 (Fernanda Molina),BOLSA-VIVERO-30X30-FERNANDA-MOLINA,12,59.69,,Fernanda Molina
427,CABLE PLANO SUMEGIBLE 3X10 AWG 600V (VDE),CABLE-PLANO-SUMEGIBLE-3X10-AWG-600V-VDE,12,73.00,,VDE
596,TAQUETE DE SOPORTE L (VDE),TAQUETE-DE-SOPORTE-L-VDE,12,,,VDE
600,ARANDELA 3/8,ARANDELA-38,11,,,
432,CABLE SOLAR   CAL 10 AWG 2000V,CABLE-SOLAR-CAL-10-AWG-2000V,11,,Sistemas de Iluminación,
561,"Tee pvc 1.25"" (1 1/4"")",TEE-PVC-125-1-14,11,20.00,Mangueras y Tuberías,"1 1/4"""
417,CABLE BLANCO DOBLE  CDC POT STP-2 CAL 2X16 AWG (1.307 MM2) 300 V 60 PARA SENSORES (Tornillo),CABLE-BLANCO-DOBLE-CDC-POT-STP-2-CAL-2X16-AWG-1307,10,7.76,,Tornillo
564,CABLE TENSOR EN TRAMOS PLASTIFICADO ( PEDACERIA),CABLE-TENSOR-EN-TRAMOS-PLASTIFICADO-PEDACERIA,9,8.85,,PEDACERIA
456,MALLA ANTIAFIDOS BLANCA 40x25 3.7X100 (POPUSA),MALLA-ANTIAFIDOS-BLANCA-40X25-37X100-POPUSA,9,41.30,Mallas,POPUSA
574,TORNILLO 3/8 X 13 CM CON DOBLE GUASA Y TUERCA,TORNILLO-38-X-13-CM-CON-DOBLE-GUASA-Y-TUERCA,9,,,
569,ABRAZADERA DE 1/2,ABRAZADERA-DE-12,8,5.18,Mangueras y Tuberías,
424,CONECTOR MC4 HEBRA SIN PUNTILLAS (Riegos del Norte),CONECTOR-MC4-HEBRA-SIN-PUNTILLAS-RIEGOS-DEL-NORTE,8,,,Riegos del Norte
504,"MANGUERA DE SUCCION ANILLADA 1.5"" 10 Y 5M",MANGUERA-DE-SUCCION-ANILLADA-15-10-Y-5M,8,90.00,,
430,CABLE PLANO SUMEGIBLE 3X8 AWG,CABLE-PLANO-SUMEGIBLE-3X8-AWG,7,95.00,,
584,"ABRAZADERA OMEGA 1/2""",ABRAZADERA-OMEGA-12,6,29.93,Mangueras y Tuberías,
423,CONECTOR MC4 HEBRA (Riegos del Norte),CONECTOR-MC4-HEBRA-RIEGOS-DEL-NORTE,6,20.50,,Riegos del Norte
421,CONECTOR MC4 MACHO (Riegos del Norte),CONECTOR-MC4-MACHO-RIEGOS-DEL-NORTE,6,20.50,,Riegos del Norte
520,GOMA GESTIRRIEGO,GOMA-GESTIRRIEGO,6,1.61,,
581,Manguera naranja electrica 3/4,MANGUERA-NARANJA-ELECTRICA-34,6,6.00,Mangueras y Tuberías,
597,PIJA DE 8.5 CM DE SOPORTE L (VDE),PIJA-DE-85-CM-DE-SOPORTE-L-VDE,6,,,VDE
410,"Tubería para columna: Longitud,3 metros +/- 10 mm, TUBOA250 2"" (VDE)",TUBERÍA-PARA-COLUMNA-LONGITUD3-METROS---10-MM-TUBO,6,693.80,,VDE
498,"Tubin Netafim 305 m de 3x5 mm (LUPIN ""LA CHOLE"")",TUBIN-NETAFIM-305-M-DE-3X5-MM-LUPIN-LA-CHOLE,6,200.00,,"LUPIN ""LA CHOLE"""
594,mANGUERA METALIZA ANILLADA 3/4,MANGUERA-METALIZA-ANILLADA-34,6,20.01,,
541,"ABRAZADERA SIN FIN 1""  (Tornillo)",ABRAZADERA-SIN-FIN-1-TORNILLO,5,31.89,Mangueras y Tuberías,Tornillo
540,ABRAZADERA USO RUDO 36-39,ABRAZADERA-USO-RUDO-36-39,5,27.00,Mangueras y Tuberías,
405,"ALIANZA RAFIA ALMERIA NG STRONG  1200  (POPUSA)
  (4.5KG)",ALIANZA-RAFIA-ALMERIA-NG-STRONG-1200-POPUSA-45KG,5,346.88,,4.5KG
400,"Alambre Zig ZAg Rollo 5 (Aranza), Rollo 4 (7.935 kg) (Aranza)",ALAMBRE-ZIG-ZAG-ROLLO-5-ARANZA-ROLLO-4-7935-KG-ARA,5,68.97,Materiales para invernadero,Aranza
491,Aspersor invertido Rivulis Rondo 39 l/h | 5 mm TH | Rotor verde+Boquilla negra+antifugas+contrapeso rivulis+tubin negro 30 cm+inserto negro (INVERTEX),ASPERSOR-INVERTIDO-RIVULIS-RONDO-39-LH-5-MM-TH-ROT,5,0.00,,INVERTEX
557,Filtro Azud 3/4 (INVERTEX),FILTRO-AZUD-34-INVERTEX,5,200.00,,INVERTEX
492,GIRONET ARMADO  PARA COLGARSE AZUL 40LPH CON VALVULA ANTIGOTEO INVERTIDO CON CONTRAPESO 15 CM,GIRONET-ARMADO-PARA-COLGARSE-AZUL-40LPH-CON-VALVUL,5,55.00,,
478,MANGUERA CIEGA 16 MM AGRICOLA (Riegos Del Norte),MANGUERA-CIEGA-16-MM-AGRICOLA-RIEGOS-DEL-NORTE,5,17.47,Mangueras y Tuberías,Riegos Del Norte
425,PUNTILLAS PARA CONECTOR MC4 (Riegos del Norte),PUNTILLAS-PARA-CONECTOR-MC4-RIEGOS-DEL-NORTE,5,,,Riegos del Norte
384,TRAMPA PAQUETE CON 20 PIEZAS AMARILLAS (POPUSA),TRAMPA-PAQUETE-CON-20-PIEZAS-AMARILLAS-POPUSA-1,5,112.91,,POPUSA
371,TRAMPA PAQUETE CON 20 PIEZAS AZULES (POPUSA),TRAMPA-PAQUETE-CON-20-PIEZAS-AZULES-POPUSA,5,112.91,Nutricion y Proteccion Vegetal,POPUSA
525,"Tubo RD‐26 de 1‐1/2"" HDCO EN TRAMOS  (Riego de l Norte)",TUBO-RD26-DE-112-HDCO-EN-TRAMOS-RIEGO-DE-L-NORTE,5,27.00,,Riego de l Norte
562,"codos de 45° 1.25"" (1 1/4)",CODOS-DE-45-125-1-14,5,14.00,,1 1/4
422,CONECTOR MC4 MACHO SIN PUNTILLAS (Riegos del Norte),CONECTOR-MC4-MACHO-SIN-PUNTILLAS-RIEGOS-DEL-NORTE,4,,,Riegos del Norte
434,"MANGUERA NARANJA ANILLADA DE 1""",MANGUERA-NARANJA-ANILLADA-DE-1,4,,Mangueras y Tuberías,
609,Motobomba periférica TUBMAN 1/2 HP (TM-P50X-1127),TM-P50X-1127,4,559.71,Equipos de Riego,TM-P50X-1127
416,SUP PICOS VDE (VDE),SUP-PICOS-VDE-VDE,4,573.96,,VDE
568,"ANGULO 1/8 X1.25""",ANGULO-18-X125,3,300.00,Materiales de Construcción,
567,"ANGULO 2"" X 2"" 1/8""",ANGULO-2-X-2-18,3,,,
388,Carrete Para Cortina Armada Galv. Cal. 18 (Doña Paula),CARRETE-PARA-CORTINA-ARMADA-GALV-CAL-18-DOÑA-PAULA,3,104.40,,Doña Paula
536,"NIPLE GALBANIZADO DE 2"" (Tornillo)",NIPLE-GALBANIZADO-DE-2-TORNILLO,3,69.99,,Tornillo
505,PVC 32 MM RD 26  2.7M HIDRAULICO (RIEGOS DEL NORTE),PVC-32-MM-RD-26-27M-HIDRAULICO-RIEGOS-DEL-NORTE,3,18.00,,RIEGOS DEL NORTE
389,"Polea Armada de Nylamid de 1 1/4"" (Doña Paula)",POLEA-ARMADA-DE-NYLAMID-DE-1-14-DOÑA-PAULA,3,133.40,,Doña Paula
552,"Rollo de manguera negra cedula 80 de 3/4"" (INVERTEX)",ROLLO-DE-MANGUERA-NEGRA-CEDULA-80-DE-34-INVERTEX,3,475.00,,INVERTEX
531,TUERCA UNION 1 1/4 PVC (Riegos Del Norte),TUERCA-UNION-1-14-PVC-RIEGOS-DEL-NORTE,3,85.05,,Riegos Del Norte
570,ABRAZADERA DE 3/4,ABRAZADERA-DE-34,2,7.76,Mangueras y Tuberías,
585,ABRAZADERA GANCHO 3/4,ABRAZADERA-GANCHO-34,2,29.93,Mangueras y Tuberías,
